organitation,direction,zone,number,website
Baylor Scott & White Advanced Heart Failure Clinic - Dallas,3410 Worth St Ste 250,"Dallas, TX 75246",(214) 820-6856,https://www.bswhealth.com/locations/advanced-heart-failure-clinic?y_source=1_MTQ2NjMxNTAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Transplant Services - Dallas,3410 Worth St Ste 950,"Dallas, TX 75246",(214) 820-2050,https://www.bswhealth.com/locations/transplant-services?y_source=1_MTQ2NjI4MjctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Advanced Lung Disease Specialists - Dallas,3410 Worth St Ste 250,"Dallas, TX 75246",(214) 820-6856,https://www.bswhealth.com/locations/advanced-lung-disease-specialists-dallas?y_source=1_MTM0MTE2ODMtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Center for Esophageal Diseases - Sammons Cancer Center (Prearranged Appointment,3410 Worth St Ste 235,"Dallas, TX 75246",(469) 800-7050,https://www.bswhealth.com/locations/center-for-esophageal-diseases?y_source=1_MTQ2NjMwNzAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Liver Consultants of Texas - Dallas,3410 Worth St Ste 860,"Dallas, TX 75246",(214) 820-8500,https://www.bswhealth.com/locations/liver-consultants-of-texas?y_source=1_MTQ2NjI5MjYtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
North Texas Preferred Health Partners – Dallas,3417 Gaston Ave Ste 700,"Dallas, TX 75246",(214) 823-4800,http://www.ntphp.com
Baylor Scott & White Signature Medicine - BUMC,3417 Gaston Ave Ste 600,"Dallas, TX 75246",(469) 800-9900,http://www.manta.com/c/mbs3726/baylor-university-medical-center
Baylor Scott & White MedProvider,3417 Gaston Ave Ste 1000,"Dallas, TX 75246",(469) 800-9000,https://www.bswhealth.com/locations/medprovider-dallas?y_source=1_MTQ2NjI3ODYtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White The Voice Center,3417 Gaston Ave Ste 1000,"Dallas, TX 75246",(469) 800-7730,https://www.bswhealth.com/locations/the-voice-center?y_source=1_MTQ2NjI4MzgtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Center for Esophageal Diseases,3417 Gaston Ave Ste 1000,"Dallas, TX 75246",(469) 800-7050,https://www.bswhealth.com/locations/center-for-esophageal-diseases?y_source=1_MTQ2NjMwNTEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Nutrition and Weight Management Center - Dallas,3417 Gaston Ave Ste 1000,"Dallas, TX 75246",(469) 800-9097,https://www.bswhealth.com/locations/nutrition-and-weight-management-center-dallas?y_source=1_MTQ2NjI5NzctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Endocrinology Specialists North Texas,3417 Gaston Ave Ste 980,"Dallas, TX 75246",(469) 800-8020,https://www.bswhealth.com/locations/endocrinology-specialists-north-texas?y_source=1_MTQ2NjI5NDItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Surgical Institute - Dallas,3417 Gaston Ave Ste 910,"Dallas, TX 75246",(469) 800-7560,https://www.bswhealth.com/locations/surgical-institute?y_source=1_MTQ2NjMxNTQtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Neurosurgery Associates - Dallas,3417 Gaston Ave Ste 920,"Dallas, TX 75246",(469) 800-9260,https://www.bswhealth.com/locations/neurosurgery-associates?y_source=1_MTQ2NjI4MzEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Neurology - Dallas,3417 Gaston Ave Ste 935,"Dallas, TX 75246",(469) 800-7680,https://www.bswhealth.com/locations/neurology-dallas?y_source=1_MTQ2NjMxNzktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Center for Inflammatory Bowel Diseases,3409 Worth St Ste 600,"Dallas, TX 75246",(469) 800-7180,https://www.bswhealth.com/locations/center-for-inflammatory-bowel-diseases?y_source=1_MTQ2NjMwMTEtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Hand and Upper Extremity Specialists,3409 Worth St Ste 300,"Dallas, TX 75246",(972) 817-7470,https://www.bswhealth.com/locations/hand-and-upper-extremity-specialists?y_source=1_MTY3OTE5MTUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor University Medical Center,909 N Washington Ave,"Dallas, TX 75246",(972) 263-3187,http://www.baylor.edu
Baylor Scott & White Physical Medicine and Rehabilitation Physicians - Dallas 909 N. Washington,909 N Washington Ave,"Dallas, TX 75246",(214) 820-1501,https://www.bswhealth.com/locations/physical-medicine-and-rehabilitation-physicians?y_source=1_MTQ2NjMwMTktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White Spine & Scoliosis Center - Baylor University Medical Center,3900 Junius St Ste 705,"Dallas, TX 75246",(972) 817-7450,https://www.bswhealth.com/locations/spine-and-scoliosis-center-dallas?y_source=1_MTYzNjM2OTAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Hip Preservation Center,3900 Junius St Ste 705,"Dallas, TX 75246",(214) 820-9520,http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpnKvDA8thU6kjqufsjfq3sn0q1TARa7guYqfiuUQWaQTj7ywrBuSS_cTlsYbCXFIbFeSOekeMdgRhdd-nVmHsWIQ_n2Mqr8gBBwwV6AJN2Nb9CxBob2pVR21kXv-IP6hw0xcl7C1tZ-1mho9dLJGurdZOI3WPoq4JsqPaR4FyafGviLFxz84boyHM1jNfF7-SzJ-lrR61AT9I6blDBOH0i3mda930G_Wo39EFUUOaW71ukfIAs-vbGleNap0hR7FTZG--o1Hjh0IjgdkAZBNmAdq1CF7eqZVBKwaxgtM0vgYZQH426brYD-p586bJmHtTH
Baylor Scott & White Physical Medicine and Rehabilitation Physicians - Dallas 3900 Junius,3900 Junius St Ste 705,"Dallas, TX 75246",(469) 800-7120,https://www.bswhealth.com/locations/physical-medicine-and-rehabilitation-physicians?y_source=1_MTQ2NjMxNDgtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
Baylor Scott & White The Shoulder Center at Baylor University Medical Center,3900 Junius St Ste 740,"Dallas, TX 75246",(972) 817-7420,https://www.bswhealth.com/locations/the-shoulder-center-dallas?y_source=1_MTQ2NjMwMjctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
